IPV4_SRC_ADDR,IPV4_DST_ADDR,flow_count,distance,demand
106.21.55.11,113.179.91.250,57940,1689.6822162926276,4.419806399997482e-05
106.21.55.11,69.1.167.172,57931,12322.842029164183,4.358606399997578e-05
106.21.55.11,76.153.170.170,57926,13084.044370185204,4.337486399997602e-05
106.21.55.11,139.0.48.63,57810,4589.772306133234,4.218272799997671e-05
106.21.55.11,100.37.31.198,57793,11625.22635489649,4.247542399997649e-05
106.21.55.11,134.218.95.210,57788,11342.13273053755,4.2083775999976655e-05
106.21.55.11,141.106.66.215,57758,11044.601604099069,4.2074975999976656e-05
106.21.55.11,80.19.141.188,57696,8341.490300002655,4.1375495999976655e-05
89.159.255.164,14.150.91.237,57383,9515.879804518663,0.02072657011999836
89.159.255.164,137.53.156.196,57359,8274.253266142217,0.004389123383999057
